Crash Number,Date Time,Year,Day Of Week,Object 1,Object 2,Street Number,Steet Name,Cross Street,Location,Latitude,Longitude,Weather,Hospitals,Gender
30486,3/4/2012,2012,Sunday,Auto,Parked Vehicle,,MAGAZINE ST,Chestnut St," MAGAZINE ST & Chestnut St Cambridge, MA",42.358388,-71.111881,"sleet,hail,freezing rain or drizzle",7,2
30498,3/4/2012,2012,Sunday,Auto,Auto,2000,Massachusetts Ave,,"2000 Massachusetts Ave Cambridge, MA",42.390338,-71.121411,cloudy,7,1
30483,3/5/2012,2012,Monday,Auto,Auto,,Massachusetts Ave,RICHARD AVE," Massachusetts Ave & RICHARD AVE Cambridge, MA",42.39995,-71.133778,snow,7,1
30480,3/6/2012,2012,Tuesday,School Bus,Auto,,Massachusetts Ave,STATE ST," Massachusetts Ave & STATE ST Cambridge, MA",42.362647,-71.099069,cloudy,7,1
30484,3/7/2012,2012,Wednesday,Auto,Parked Vehicle,,MAGAZINE ST,Chestnut St," MAGAZINE ST & Chestnut St Cambridge, MA",42.358388,-71.111881,SUNNY,7,2
30485,3/7/2012,2012,Wednesday,Auto,Bicycle,1,Hampshire St,,"1 Hampshire St Cambridge, MA",42.365232,-71.090065,cloudy,7,1
30679,3/7/2012,2012,,Auto,Miscellaneous,,Bennett St,University Rd," Bennett St & University Rd Cambridge, MA",42.372835,-71.123312,SUNNY,7,1
30487,3/8/2012,2012,Thursday,Auto,Truck,32,Vassar St,,"32 Vassar St Cambridge, MA",42.361735,-71.091339,"sleet,hail,freezing rain or drizzle",7,1
30572,4/2/2012,2012,Monday,Auto,Parked Vehicle,36,Tremont St,,"36 Tremont St Cambridge, MA",42.370795,-71.098431,cloudy,7,1
30488,3/8/2012,2012,Thursday,Auto,Parked Vehicle,1697,Cambridge St,,"1697 Cambridge St Cambridge, MA",42.375263,-71.111846,rain,6,1
30489,3/8/2012,2012,Thursday,Auto,Auto,1920,Massachusetts Ave,,"1920 Massachusetts Ave Cambridge, MA",42.389044,-71.119951,cloudy,7,2
30490,3/8/2012,2012,Thursday,Auto,Bicycle,164,Hampshire St,,"164 Hampshire St Cambridge, MA",42.371792,-71.098651,cloudy,7,1
30491,3/8/2012,2012,Thursday,Auto,Fixed Object,691,HURON AVE,,"691 HURON AVE Cambridge, MA",42.381111,-71.153004,clear,7,2
30492,3/8/2012,2012,Thursday,Auto,Parked Vehicle,691,HURON AVE,,"691 HURON AVE Cambridge, MA",42.381111,-71.153004,clear,7,1
30493,3/8/2012,2012,Thursday,Auto,Auto,667,GREEN ST,Putnam Ave,"667 GREEN ST Cambridge, MA",42.369287,-71.113131,cloudy,7,1
30500,3/8/2012,2012,Thursday,Auto,Parked Vehicle,,University Pl,MOUNT AUBURN ST," University Pl & MOUNT AUBURN ST Cambridge, MA",42.373365,-71.122973,cloudy,7,2
30510,3/8/2012,2012,Thursday,Auto,Auto,,Bennett St,University Pl," Bennett St & University Pl Cambridge, MA",42.372835,-71.123312,SUNNY,7,2
30494,3/9/2012,2012,Friday,Auto,Bicycle,,SPRINGFIELD ST,Cambridge St," SPRINGFIELD ST & Cambridge St Cambridge, MA",42.373689,-71.100529,clear,7,2
30495,3/9/2012,2012,Friday,Auto,Bicycle,831,Massachusetts Ave,,"831 Massachusetts Ave Cambridge, MA",42.367211,-71.106461,"sleet,hail,freezing rain or drizzle",7,2
30496,3/10/2012,2012,Saturday,Auto,Auto,95,Moore St,,"95 Moore St Cambridge, MA",42.366085,-71.093777,clear,7,1
30499,3/10/2012,2012,Saturday,Auto,Parked Vehicle,,FAYERWEATHER ST,Concord Ave," FAYERWEATHER ST & Concord Ave Cambridge, MA",42.384591,-71.135792,cloudy,7,2
30525,3/10/2012,2012,Saturday,Auto,Parked Vehicle,,SEVENTH ST,Thorndike St," SEVENTH ST & Thorndike St Cambridge, MA",42.37037,-71.085859,"sleet,hail,freezing rain or drizzle",7,2
30497,3/11/2012,2012,Sunday,Auto,Parked Vehicle,,Brookline St,EMILY ST," Brookline St & EMILY ST Cambridge, MA",42.360209,-71.105023,snow,7,1
30501,3/12/2012,2012,Monday,Auto,Bicycle,,Galileo Galilei Way,Broadway," Galileo Galilei Way & Broadway Cambridge, MA",42.364802,-71.089413,clear,7,1
30502,3/12/2012,2012,Monday,Auto,Parked Vehicle,1,Porter Sq,,"1 Porter Sq Cambridge, MA",42.388578,-71.118688,SUNNY,7,1
30504,3/14/2012,2012,Wednesday,Truck,Fixed Object,27,SPINELLI PL,,"27 SPINELLI PL Cambridge, MA",42.391754,-71.153816,rain,7,2
30505,3/14/2012,2012,Wednesday,Auto,Fixed Object,1350,Massachusetts Ave,,"1350 Massachusetts Ave Cambridge, MA",42.372962,-71.11848,rain,7,2
30506,3/14/2012,2012,Wednesday,Auto,Parked Vehicle,2526,Massachusetts Ave,Church St,"2526 Massachusetts Ave Cambridge, MA",42.368925,-71.110257,cloudy,7,2
30507,3/14/2012,2012,Wednesday,Auto,Parked Vehicle,27,LINCOLN WAY,,"27 LINCOLN WAY Cambridge, MA",42.387665,-71.128947,cloudy,7,2
30575,3/14/2012,2012,,Auto,Fixed Object,,ESSEX ST,PERCY PL," ESSEX ST & PERCY PL Cambridge, MA",42.366989,-71.101486,cloudy,7,1
30508,3/15/2012,2012,Thursday,Auto,Auto,,Massachusetts Ave,Rindge Ave," Massachusetts Ave & Rindge Ave Cambridge, MA",42.392615,-71.124874,SUNNY,7,2
30509,3/15/2012,2012,Thursday,Auto,Auto,15,PEARL ST,,"15 PEARL ST Cambridge, MA",42.364338,-71.10308,cloudy,7,1
